[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[        |   B    |     B B|        |   W    | W   W  |        |        ,(1,3)],0.11879937
[ W W B  |        | W   B  |BBW WB W|B   W   |     B  |        |      W ,(2,1)],0.49889246
[  BW W W|W       |WBBB   B|       W|  B  WW |B    WB |      BB| W  W B ,(6,7)],0.6673087
[  W  WB |    B WB|WW    BW|BBB W   |   B   B|WWWBB  W|W BB    |W BW W  ,(3,4)],0.8414326
[WWBWWBBW|BBBWBBWB|WBW WBBB|BBWB WWW|BWWWBWBB|BWBWBWBW|WBBWBBW |WWWBWBW ,(1,4)],0.99713504
[BBW BWWW|BW   BW | B BWBB |W    BB | W BW BW|B B  B W|W   WWW |W  BBWWB,(2,3)],0.9571436
[WWWBBBWW| B BW WB|WB B WB |BWWWBBB |BW WW B | BWB B B|WBWW  WB|W  B WBW,(0,4)],0.9831482
[WBWW WWW|BBB BBBW|BW WBB B|BWBW  WB|WWBW BWW|B  B W W| WW  BWB|WBBWBBWB,(1,1)],0.9966451
[ B B W W|B W  B  |WWB WBW |B  B   W|B BW  WB|  BBW B | WWW B  |W B WBW ,(4,0)],0.933355
[WB W WWW|BWWWB BW|B WWBWBW|WB B  WB|B W W  W| BWBBWWB| WWB B B|BB  B  B,(1,1)],0.9434449
[BWBWWBWW|WBWBW W |BBWB   B|BB BB WW| WWWBBWB|WWBBWB W|BB WW WW|WWBBWBBB,(4,3)],0.9966801
[   W    | W      |B     WW|BBWB   B| BW  W  |        |W    BBW|        ,(6,0)],0.23068622
[B     W |   W  W |   B    |BW W   W|     BB | B  WB  |W BB    | BW  WW ,(7,2)],0.369975
[WBW W BW| B BWBB | W    W |BW   B  |BWW  WB |BB WWB W|WBWBBWB |B   WBW ,(3,5)],0.99542
[   WB B |B B  B  |  B B W | W   WB |        |   WWW W|        |    W   ,(5,5)],0.54505354
[W BWBBBW|BBBWWW  |BWW WWBW|BB BWBBW|WBWB WWB|BW WBBW |W BWBBWB|WWBWBW B,(4,3)],0.996755
[WWBBBWB |WBWW BWW|BBWBB BB|BWW BW W|BWBWBWB |WWB WBBW|WBWBWBBW| WBWWBW ,(5,1)],0.9968451
[B  W    | W      |  WW W  |   B   B|    B W | B  B   |  W     | W     B,(4,6)],0.24854001
[ WW    B|BBWB   W|W  B W  |WBB    B| WBW W B| B BWW W|WWW  BWB|BB  B   ,(5,1)],0.99452
[ W    WB|     BW |   B BB |   B B  |  WBW  W|  B     | W   WB |W WB  W ,(3,3)],-0.028830001
[W B     |BB W B  |W  W  WW|W B     |B       |  WB    |W   W B | B  B W ,(2,7)],0.15198192
[ WW W WB|       B| B B W  |  B B   | W    B |        |   WW   |  B    W,(0,4)],0.18192662
[  B  WW |     BBW|  WB   W|       B|    WW W|   B W  |BW      |     BB ,(2,2)],-0.013061251
[B B   WB|     BW |B W    W|WB  B W |     B B|  W   W |   W    |W       ,(2,7)],-0.010129999
