[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[W WBBWBB|BBWBBBWW|WBBB WBW| WWW WBW|WBBBWWW |W WBWBBB|WBB WW W|BBW BBW ,(6,2)],0.99645996
[  B  W W|  W    W|BWW  W  |BBB    W|BB B    |    WB B| WW   WB|  W  WBB,(6,2)],0.94311744
[  B     |B    W  | W B BB | W    B |   B    |        |WBWW   W|  W W WB,(6,2)],0.43064308
[B WBWBBW|WWWBBBW |WBBBWWBB|BW WBWBW|WWWBWB W|B BBWWWB|BWWWBBBW|BWBWWBB ,(7,6)],0.99677503
[BBWWBBBW|BWBBBWBW|BBWBWWWB|WW WWBWW| WB BBB |BBWWWBWW|W BBBWWW|WBWWBBBW,(5,2)],0.99718
[ BWBBWBB|WBBBWBBB| WWWBBWW|   W WBB|BB W BBW|WW BBW W| B  WWW | WWBWBW ,(0,4)],0.9950299
[   B   W|        |        | B B  WB|W   WWW |        |B   WB  |   BW  B,(6,0)],0.6114788
[BBBWBWWB|BBWBWBBW|WBWW  BW|W    BBW|B BB  W |BW WBWBW|BWWW WW |WW BBB W,(7,0)],0.99630487
[BWW WBBW| BWBBB B| BB WB W|WB   WWW|W B B BB|WW WBWWW| WBBB  B|WW   WBW,(5,0)],0.9965352
[WBBWWBBB|WWWBWBWW|BBBWBWBW|BWBWWWBW|BBWBWBWB|  W WBBB|BWBWBBBW|WWWBWWWB,(7,4)],0.99768
[B WWBW B| WBBBWW |  WWBBWB|BWW WB B| BB BW B|WWBWWBBW| W W W W|B  BBWWB,(0,5)],0.99652994
[  B     |    W   |   BW  W|        |        |B       | W      |    B  W,(1,4)],0.044184677
[  W     |  B W   |    W   |B  W   B| WB    B|    WW  |B    B  |W   B W ,(4,1)],0.60896134
[WBWBBBWB|WWWBWBBW|BBBWW WB|WWBBBWBB|WBWWBBBW|WBB  WWB|BWBBBWWW|WWBW WBW,(2,0)],0.9973651
[ B  W W |W  WBW B|BW B B B| W WBBBW|B   WBWW|BBW W  W|W BWBW  |WWBWBB B,(1,3)],0.9964551
[  BW    | W      |        |     W W| B W    |       W|B    W  | B BB   ,(0,3)],0.52924
[B  BB BW|W WBB WB|B     W |BBWWW BW|  BBWBBW|WBB  W W| W  WB  |BWWW BW ,(7,5)],0.99626505
[  BBWB  |B  W B  |       B| W   W  | WBW    |WWBW  W |   BB   |WW  BB  ,(2,7)],0.64489996
[    W   |  W  B  |        |      W |  B B   |    W   |        |        ,(0,4)],0.16548891
[ BWB WWB| WWBB WW|B  B BWB| B WBB W| BW BBB | W W   W|     W  |W  W B  ,(2,3)],0.9702299
[B       |  W B W |     W  |   B   W|  B  B  |WB      | W      |     W B,(0,0)],-0.013666248
[W     B |  W  BB |W WWWB  |  WB    |    WBWW|  BW  B |W BWBB  | B B    ,(1,6)],0.8714824
[   WB W |        |      B |W WB W W|  B W   |B       | W     B|B W    B,(3,7)],0.22048251
[     B  |  W     |        |        |  B     |     B  |     BWB| W    WW,(4,2)],0.033461254
[ WBBWBWW|BBWBWBBB|WWWBBBWW|BW WW WW|WWBW WWB|BBBWBB W|BWBBWWBB|WBWBWBB ,(1,0)],0.99700487
[WBWBWWWB| WWB W B|W BBBW B|WBB BBB | W  WBWW| B W    |W WWWBBW|BBWBB   ,(1,7)],0.99636495
[WBB W  B|WBWWB W | W BB  W| BWBWBW |W WBW B |WB W WW |WW BBBWB|B  BWBB ,(2,1)],0.99618995
[BBW WWB |WB BB WB|W   BW B|BBWB BWB|W    WW | WWWBW W|WBBB  BW| WWBWB B,(0,1)],0.9963623
[     B  |     WW |B W     | B      |WW   B  |  W     |B     B |    W   ,(2,2)],-0.007740001
[ W    WB| W  BWWW|     B  |    WBWB|  BWB   | B  B W |W WB    |  BB  W ,(6,2)],0.71314543
[ BWWWBBB|BWBBBW W|WWB WB W|WBBBWBWB|WB WW   |B BWBWB |WWW  BBW|WBBW WWB,(5,3)],0.9964701
[BBWWWBBW|BB BB BB|WW WBBW |WBWWWBWB|BW WWBWW|BW BBWBB|WBBWBWBB|WWWBWWWB,(3,7)],0.99698496
[BWWWBWWW|WWBWBWBB|BWBBBWBB|BBWBWBWB|WBWBWBWW|WWBWBWBW|BWBWBBB |BW  BWWW,(3,2)],0.99745005
[      W |  W    W|  B   WB| B    WB|        |    W   |W     B |       B,(1,7)],0.02430884
[WB BW  B|B   BBW |WBBWB  W|WW   BBB|BWB    B|W W    B|W W WW  |BWWBBWW ,(5,7)],0.9569601
[ BB W W |  WWB WW|W    W  |  WB BWB|W  B W B| B WB BB|WBW W   |B BWWB B,(7,4)],0.9572624
[        |B   W  W|W       | W  W W |B   B   |B  B WB |W B   B |  WW B B,(1,0)],0.15453617
[    W   |        |    B   |  WB W  |       W|   W B  |    B   |        ,(0,4)],0.2385172
[ BBWBWWB|BBWWBBWB|W  W W W|BWWBBBWB|WWBWBBWW| WBBW WW| B WWB W|BBBWBBWB,(3,4)],0.99675
[B WBBWW |W BB WWW|WW  WWB |BB BW WW|WW B  B |BBB B BB|BWBBWWB |W WWBW  ,(1,5)],0.9961301
[ B  BW W|BB B WBW|BBWBWWBB|WWB BB  |W  W  W | B WWW W|WB W   W|WWBBBWBB,(4,6)],0.996305
[   B BB |WB WB WB|WBW  W W|B   W WB|WBWBWW B|BWBW B  |WB WW BB|W  BW BW,(2,0)],0.9964
[ WWBBW W| BW   BB| BBW BBW|WW WB B |WBBWW  B|WWBB BWB|BWB  WWW|BBWB W W,(7,0)],0.99647504
[ BWWWB B|        |      W |W  B B  |   BW   |WBBW BBW|W     WB|    W B ,(3,3)],0.67680496
[ B    B |B     W |        | W  W  W| W      |        |        |  B     ,(4,1)],-0.012905002
[      W |W    BBW| B W BWW|WBW BB W|BBW  WBB|   WWBW |BBWWB B | W W B  ,(4,5)],0.9956349
[WBBBWBWW|BWWBW BW|WWBBWBBB|WBWWBBBW|WBW BWWB|BBBWWBBB|BWWWBWWW|WBBWBWBW,(3,4)],0.9982551
[ BW   B |B       |      WB|W B  WW | W W  W |BB   B  |WW    B |B WB    ,(5,1)],0.67343384
[WWW WWBW|BBWW B  |BWBBBW W|W   BW  |BBWBWWBB| B BBB  |WW  WBBW|B BWBWW ,(4,1)],0.86427003
[W       |    B   |        |        | B      |        |W       |      W ,(7,6)],0.18020752
[B W WBWW|BWB WB W| WB  W  |W  B  BB|  W B B |WBW WW W| BB WB B| BW B W ,(0,4)],0.98608
[   BW   |   WB   |      W |    W B |   W   B|       W|B    WW |B B     ,(6,6)],0.50647134
[  BW WB |B W WBWW|W WB WWW| BWW BBB| BBWB  W|B BW  WB|W B B BB| W W  BW,(0,5)],0.995975
[BW B WWW|BWBWWBBW|WWBWB BB|WBBW BBW|WWWBWBWB|BWWW BBW|BWBBBWWB|WBBBWBWW,(3,0)],0.99715996
[ W     W|    B   | W      |   BB  W| B     W|WB      | B      |        ,(3,4)],-0.01684
[     W  |    B  W|   B   W|  W     | BW     |WW B    |   B WBB|        ,(6,5)],0.18996373
[       B|        |        |     W  |BW     B|  B WW  |       W|  B     ,(5,2)],0.2613713
[WBB  BWB|   B B  |W BWWBBB|BWB W BW|W WBB BB| WBBW W |WWW W  W|WWWB W B,(6,1)],0.99632007
[  WW BWB|BW WW BW|WB WB  B|WW BWWWB|WW W B  |BB WW WB| BBBWBBB|WBBBWBW ,(4,0)],0.99650496
[    W B |    BW  |     B  |B  W  W |W       |    W   | W   B W|    BWBB,(3,6)],-0.007356249
[ B W    |   W BWW|   BB   | BW WBBB|    W  B|   WB W |  B    W| W   WWB,(1,7)],0.42099696
[  BBB  B|WB WW W |  B W W |WW BWB  |BB B  W |WWBBBWW |WW WBWW |B   B BB,(5,4)],0.99630487
[       W|B       |B      B|  W     |W W     |      B |        |        ,(2,7)],0.23592499
[BW  BBWB|W BB  BW|BWB B WW|B  WBW B|  WWBWWW|WB  WB B| B BBWBB|WW WWW W,(7,7)],0.9961651
[BWWWBWBW|BBBWWBWW|WWWBBBWB|WWBWWWBW|BWWWBBWB|WBBBWBWW|WBWBBWBB|BB BWBBW,(0,2)],1.0
[B B WWW | BWB BBB|    BW  |  B W B |  W B   |W  BW B |BWW W   |WW BBW W,(1,3)],0.98751
[       B|     W  |        |        |      W |   B    |W       |        ,(1,5)],0.055369996
[        |        |        |        |        |      W |    W   |     B B,(7,5)],0.13208625
[ B   B  |        |        |        |        |        |        |  W W   ,(0,5)],0.17180252
[ W  W   |BWB     |   W    | W B    |    B   |       W|   B  B |B W  B W,(4,4)],0.59658647
[ W   B  |W WBB BW|  B    W|  W W   |    W B | B      |W  B    |  WB    ,(0,1)],0.58220494
[ WBW BBW|WWBBWWWB|WW  B W | B BBWWB|W   W BB|BW B   B|WBB  BWW|BBW  WW ,(1,6)],0.99369514
[ B      |     W  |   W    |   B    |       B|        |        |  W W   ,(1,5)],0.011269299
[B   B BB|B  WB   | W      |  WWWB W|    B   | WW   W |W      B|      B ,(3,5)],0.7113739
[  W W WW|WW BBBW |WWBBWBB |BW  B WB|     B B| WB    B|W     BW|B   W  W,(6,0)],0.985505
[ W WB   |BWWW    |B  BW  W|B  W BB |WW WB  W| BB BW  |B WBWB  |WBB W  B,(5,2)],0.994575
[        | W  B   |B       |  W     |    B   |    W   |        |W    B  ,(2,0)],0.1479919
[      B |     WB |     W  |        |   B    |   B    |    WW  |WWB     ,(7,1)],0.1859031
[W BWBW W|W  B BBB| B BWWWB|   B   B|WW    B |BB BBWWW|BBB BWWW|W W WWW ,(0,3)],0.99609995
[BW  W   |W WBWW  |BBW  BB |BB   WWW|W BW BBB| BWW WWB|WW BBWWW|BWBBWBBB,(6,6)],0.99581003
[WW B  B |W BWW WB|BBB BB W| BWWBWBW|WWWBB B |WBWW BBW|BBBWBW W|W W BWWB,(7,2)],0.99634
[ B   B  |B BWW   | B WB   |    WW W|W W  W  | W WBB  |BWWBW BB|W    B B,(4,0)],0.5913707
[BWBWB  B|B WBW WW|WW B    |BWBWBWWW| WBBWBBW|WB BWBWB|BWWBBBWW|WWB BWBB,(0,7)],0.99034005
[ WB     |B      W|   B WB |W   B   |  B    W|    W   |       W|  BBW W ,(7,6)],0.12160385
[B WBWB W|BB WWWB |BWW BB B|WBW BWBW|WBWWWBW |B BB BB |WWBWW   |  BBWWWB,(3,4)],0.99649507
[BBW WWW |BB BW BW|BWW    W|W  WBBWB|WB W B  |WWB W BW|BW  BBBW|B B WW B,(5,7)],0.9959701
[WW WBB B|BWBWBW B| B WW W |W BBWWB | BBWBB W|W   BWB |BWBWWWB | WWWBBBW,(1,1)],0.99654996
[B       |  W  B  |  W     |        |     B  |        |        |  W   W ,(2,2)],0.062443115
[WWBBBW B|WBB WWBW|WWWB WBB|BBWBWBWB|BWWBWW  |W  WBBWW|BW BBWBB|BW BWWWB,(4,2)],0.996675
[BB      | W    B |        | B W WWB|     W  |B  WWB W|   B    |    W   ,(4,5)],-0.018725
[BBWWWB W|BBBWBBWW|BWWBB BW|WBWWWBBB|BWBBBWWB|WBBWWBBW|WWWBW BW|BWBWBWWW,(7,7)],0.99759996
[W B BWW |BBWBWWWB|    BWBW|B WWW WW|BWWBWBBB|BB B WBB|WBBWBWBW|WWW BW B,(3,6)],0.99660504
[WWBW  WW|  WW  BW|BBB    B|WB BB   |B  BW   |B  BBWBW|    W W |   W    ,(2,2)],0.88643277
[W    W  |  BB    |        |        |        |        | W   WBW| B      ,(0,0)],0.184435
[    W   |WW  BW W|WWB  B W|BB     B|  BB B  |W B    B|BBW W  W|WW   BW ,(1,1)],0.750585
[ WWWBW  | BB   B | WW B  B| W    W | BBW    |B  WWW B| W  BB  |W W B  B,(5,4)],-0.019702852
[BBWW B  | W BB  B|BWB B B |W B W WB|        | W   WW |WBB W   | W WW  B,(1,7)],0.88577855
[        |     B  |        |       B|      W | W      |        |    W   ,(5,1)],0.051787205
[        |        |        |        |  B     |   WB   |B   W   | W   W  ,(6,4)],0.1082625
[  B     |B   W   |    B   |        |        |B   W   | W W  B |    W   ,(0,2)],0.28923756
[WWBW  BB|BB    B |B BWWW W|WBBWBBWB|BBW  W  | BWW WWW|BW BB WW|BWW  BWB,(2,5)],0.99644005
[   B    |  B  B  | B      |    W W |    B   |        |  W     |W   W  W,(7,4)],0.37235993
[WBBWWBBW|WWBWBWBW|WBWBB WW|BBW WBWB|BW WB WB| BBWBWBW|BWWB W B|BWBBBWWW,(7,7)],0.99695504
[   B    | B WBW  | B  WBWW|WWW B  B|   BW  W| B    BW| WB     | WB     ,(1,3)],0.8435439
[ BBWBBWW|BWWWBBWB|B BBWBBW|WWWBBWWW|WBBWWWBB|BWWW WBW|BB BBBWB|BWBWWW  ,(0,2)],0.997015
[WW  W BB|WWB BWWB|B  WBW B| BB BBWW|WBB WBWW|BWW WW B|BWWB B W|WBBBWBWB,(7,5)],0.99647
[ B W    |W WWW WB| BW  B B|   W   B|W WB B  |BB  BW W|   B  BB| W   W  ,(5,0)],0.9961699
[     W B|W  BWB B|BBB  BWB|BWWBB  W|WW  WWWB|WBB B B |WWW  W  |B WWBWB ,(5,1)],0.99586993
[ B      |      W |      W |   BWW B|  W     |  W     |        |W  B  BB,(4,2)],-0.010391247
[WBBWBWBW|BBB W WB|BWBBWBWW|B    WBW|WW WBWBB|BW BW WW|BB WWW B| WBWB  B,(1,0)],0.99663
[BBB BBWW|BWWWBWBB|W  WBWB |BBWW  WW|WW BWWBB|B BBBWWW|WWBWBWBW| W BB  B,(3,1)],0.99639004
[   W W  |       B|B W     |        |   W    |        |B       |        ,(0,3)],-0.00788
[WWB W WW|  BB    |B W BWB |BBWB   B|      B |  W W WB| WW WB  | W B  B ,(2,0)],0.96599007
[ WBBWBWW|WWBWBWBW|WBWWBWBB|WBWBBBWB|BBWWWBBB|BWBBBWWW|WBWW WWB|BWBBBWWB,(0,5)],0.9982951
[        |        |W       |  B     |        |     B  |     W  |        ,(3,2)],0.00175375
[  W WBWB|  WWW B | B    BW|B  WB  B|WBB B  W|  W WB  |B  W W B|WB  BWWB,(7,7)],0.995045
[B    W B|     WB |   WB BW|   W    |  B  WB |W   WBB | W   W W| B W B  ,(3,3)],0.6977956
[BWBWWBBW|BWWW BWB|W  BWWW |BW BB B |WWBWBW B|B W   WB|WBW B BW|BW  BB W,(2,6)],0.9959549
[B  W  B | B   W B|BW  BW  |   BB WW|WB   W  | B   BW |      WW|WW B    ,(3,6)],0.96265507
[        |        |        |        |        |        |   W    |        ,(6,3)],0.0023153129
[   W    | WBWB   |   B    |W       |      BB|        |  W  W  |   B  W ,(6,5)],0.22751999
[  WBBBW |W WBWW  |   BBWW | BB    W|WWBW B B|BWWB WBW|B BB WW |WBWB BWB,(4,2)],0.99635494
[BWB WWBW|WBWWW WW|BBWBBBWW|BBBWBWBB|W WBBWBW|WBWBWBWB|BWBWWB B|BWBBWWBW,(2,4)],0.99725497
[WBBB  WW|W W WBWW|WBB B BB|B BWWB W| WB  B B|BWWBWBWB|BWBBWWBW|W WWWBBW,(6,4)],0.9966749
[BBBW WB |BWB    W|WB B BW |WB WWW  |W BW BW |BB BB WW|B BBWW W|B W  WW ,(6,4)],0.99639004
[      W |B     W |    W   |      WB|B    W  |B B  W  | B   BB |  W  W  ,(5,2)],0.43817073
[ B  W   | W  W   |BW   WBB| WB W   | BB B  B| W    BW|W  B B W|W  WW B ,(7,0)],0.77249503
[ B W  B |    B   |WW BW   | W  W   |B B BW  |   WBB W|  BBBW B| WW W   ,(5,5)],0.7532651
[B       |        |        |    W   |        |        |        |        ,(0,0)],0.21332002
[WWBB WBW|BWWWB WB|BB BWWWB|W BWBBBW|BWW  WBB|BBBW BBB|WWBW WWB|BBW  WWW,(3,6)],0.99674004
[BWBBWB B|W BWBW  |WB BWB W|W  W BWW| WB WBBB|WBBWWW B|WWWB   B|WB  BBWW,(4,1)],0.996405
[      W |   BB   |W      B|     W W| B W W W|W  BW B |     BWB| B  WB  ,(5,4)],0.14075999
[ B W    |   B    |  W     |    W  W|    WB  |B       | B      | B  W   ,(7,1)],0.320005
[B    W  |        |        |        |        |        |        | W      ,(0,5)],0.027405936
[        |W     BW|     W  | W      |   B   B| W      |   B  BW|        ,(2,5)],0.16771972
[BW BWWWB|WBBWWBWW|WBB BBBW|WW WBWBW|BBWBWWWB|BB BWBBB|BW BWWBW|WBWWBBWW,(0,4)],0.99704504
[WW  BBBW|WBWWBBWB|WBBWW WB|BWWBBBWW|WBWBWWBB|BWW B  W|BW WBWBB|BBWBWWWB,(6,5)],0.99684495
[WBW W  B| BB BBW |W W W W |   WWBW | BB   B |B   B   |  WWBW  |        ,(6,3)],0.84777004
[ WBBWBWW|W W BWBB|WBWBBWBW| WWB BBB|WW BWBWW|BWB BBBW|W B B WB| WWWBBWW,(1,2)],0.9966801
[ BB BBWW|BBW BWWB|BWW WBBB|W  BWBB |BWWB  BW| BWWBWWW|BW BB W |WBWWB WW,(7,4)],0.9966
[B     WW|W W W   |W      W|B B   B |      B |  WB    |B   BWBW|W BBBWW ,(1,4)],0.6809026
[WWBBWWBB|WWWBWBWW|BW  WBBW|WBBWBBWW|WWBWBWBB|BBWWBWBB|W BBWBWW|BBWB BBW,(4,6)],0.99688995
[B     B |        |        | W     W|        |        |  W  B  |        ,(6,5)],0.16658814
[WWBBBW B|BBBWBBWW|WWBB B B|WB WB WW|BBB WW W|WWWBWBB |WBBBWBBW|BW W WWW,(6,3)],0.99660003
[BBWBBWWB|BBWWB BB|WWBWBWBW|BWBWWWBB|BWW BBWW|W WBWWBW| WWBWBBW|BWBBWBWB,(0,4)],0.9973351
[       B|W       |       W|  W  W W|      BW| B BB   |        |B       ,(5,4)],0.6507638
[BBWWBBBW|WWBWBWBB|WBWBW WW|WWWBWB B|BWBWBBBW|BBBWBWWW|W WB BBB|B WWWB W,(5,1)],0.9968049
[W   BW B|WW  BB B|W B W   |  WBBWWB|B BBWB B|W  B WWW|BBW  W B|W    WW ,(5,0)],0.99517
[WBWBBB W|BW WB WW|WB WWB W|BBWBBBWB|BW B BBW|BW WBWWB|W BWBBWB|WWB  WWW,(6,6)],0.99647504
[BWWBWWB |WBBB  W |WWWBWWBB|BBB  W B| WWBWBWB| BW WBB |WBB BWWW|B BWWB W,(2,3)],0.99657506
[WBWWWBWB|WWBBBWWW|BBBWWBBB|WWW WBWB|WBWBB BW|BBBWWWBB|BW  BWWB|BWBWBBWW,(7,0)],0.99710494
[WB    W |WBBBW WB|WB BW   |BWWBWWB |BWB  W  |BBWWW   |  WBBW W|BB WBBW ,(2,4)],0.99626
[BW WWW W|BB  W  W|  BW B  |    B  W| WWB WBB|  WBW   |BB  W  W| BB BWB ,(0,4)],0.99593496
[BWBBB WW|BBWWBBWW| BBB BWB|B WWBB W|WWBWBWB |BWWBWWWB|B WBWBWW|BWB WWBW,(6,5)],0.9968399
[BB   WW |  W B   |   W B  | WB WWW | B    WB|WB      | BBBWB B|W   WWB ,(2,5)],0.91835487
[ W W    |W WBWW  |BB  BW  |   BB  B|WBWWB  B|WW      |BBWBB W | BB   WW,(4,1)],0.96589744
[     W  |    B   |BW B W  |  W   W |        |        |     W  |B   B   ,(3,6)],-0.0019992967
[        |        |        |W       |      B |        |    W   |      B ,(7,6)],0.07281686
[   B B  | B     W|W W    B|        |W BW    |  B     |        |  W     ,(5,2)],0.15858248
[ WW   BB|   B B  |W W B  B|WBWW  WB|BBW B  W| W   BBB|  W WW B|W  W  BW,(0,2)],0.9178375
[W       |B     W |       W|W   B W | W  B   |     W  |BB      |BBW B   ,(4,4)],0.15258566
[WWW B W |BWWWB W |B  WW BW|WBW B BB|WBBBWB W|B W W BB| B WWBBW|B   B  W,(2,7)],0.99477994
[BWBWWW B|BWWW BW |W BBWBBB| BWBWBBB| BWBWWW |BW WBWBW|BWWWBBBW|BBWBWWWB,(1,0)],0.996815
[    B WB|       W|WWW WW  | W     W|W    B  |  B  B  |   BB  B|    BWB ,(2,4)],0.68915766
[        |        |        |        |        | W      |        |        ,(5,1)],0.008523752
[BBB WB B|BBWBW WW| BBW BWB| WW WBWW|WBWWBBBW|BBW  WB |WB WWBBW|W  BB WW,(0,0)],0.99663496
[ WWBW  W|W BB    |       B|       W|   B    | BWB W  |   W  B |    W B ,(0,2)],0.154475
[ BWBWB W|W  WW BW|WWBB  BB| BBBWBB |BBBW  W |WWWBBW B|  WB   W|WB  W WW,(5,1)],0.9959901
[        |       W|        |        |        |        |        |        ,(1,7)],0.042340003
[B W W   |BBW WBWW|BWBWBBWW| WBWWBBB|BB    WB|WB W   B|BB WBWW |W BWW BW,(4,6)],0.99543
[BWWWBWBW|BBW W WW|BWBBWBW |  B  BWB|BWBWBWBW|WB   BWW|WWBB WBB|  BW B W,(0,3)],0.99641
[WWB WBB |BBWWBWBB|BW WW  W|B B   B |    W   |WW BW  W| WBW  BW|B B  BBW,(6,6)],0.9847
[B       |  BW    |  B     |        |B   B  W| B     W|    WW W| WB     ,(5,1)],0.5531374
[  WWW   |B    BW |W  B W B|WB   B B|BB  BBWW|  W  WW |BBWB B  |BW  WW  ,(4,5)],0.92806005
[BWBWWBWB|WWBWBBWW|BWWBWWBW|WB BWBBB|BBWBWBB |BWWWBWWB|WB WBWWW|BB WW BB,(6,5)],0.99684495
[ B  BBWW|W    B  |   BW B |  BW  BW| W    B |W  B    |W W WBWB|BW  W  B,(3,2)],-0.022224998
[B B  WWW|BBBWBB W|BBWWBWB |W  B  BW| WW  WBW|WBBB BW | WW  BB |WBW  WW ,(0,5)],0.9961551
[        |  BW    |        |  B   WW|      B |       W|B       |  W     ,(5,7)],0.1273188
[  WBWB B| W   WBW| B B   B|WB BWB  |B    WW |B WB  BW| W WWB  |WW BB WW,(5,2)],0.9949349
[   B  W |B   W W |W  BWW B|   B B W|  BBBWB |B     WW|  W WBBB|W    W  ,(3,3)],-0.0263475
[ BB W   |W  B   W| WW  WBB| B   BB | WWB  W |WB BW  W|B   B  W| WB  W  ,(5,7)],0.6215982
[        |B       |        |W      B|        |    WB  |     W  | B   W  ,(3,7)],0.16162251
[ BBBWWBW| W B  B |  B BWWB|W  WW  W|  W  W B|WBWW WBB|BW BB B |W B W  B,(0,6)],0.9958601
[   B    |WB    B |WB      |B    W W|  W  B  | W   W  |W       |B       ,(5,1)],0.58880115
[W BWWBBW|BWBBBWWB|BWWBBBW |WWWBWWWB|WBWWWBBW| WBBB WB|WWBW  BB|WBBWBBBW,(6,2)],0.99583006
[ BBBW W | B  B  B| B B   W|B B  BB |       W|W  W  B | W W  W | W  WWW ,(2,3)],0.8653251
[ BW BW W|BBB WBBW|BBBW BWW|W  W WWB|WB BBW  | WWWBBWB|B BB W B|W WWBWBW,(1,6)],0.9965051
[W  B B  |        |        |     W  |   W   W| B     B|W       |        ,(6,0)],0.115164995
[W       |   B  W |  WBW   |    B W |BW  B   |   B    | B      |W WB    ,(4,4)],0.041968446
[BWB    B| B  WW W| BBW   W| WW  W  |   B    |B   W   |BW   WB |    B   ,(2,3)],0.53765756
[        |W       |   B    |        |   W  W |        |     B  |       B,(7,7)],0.14819126
[   W B W|BW   BWW|   W  BB|  BWW   | BB   WB|WWB W   | BW  B  |B W B   ,(4,2)],0.91749
[WWWBWB B|WBWWWBBB|BWWBBBWW|WB WWWBW|BBWBWBWW|WBWBBBWB|BWBWBWBB|WBBWBWWB,(2,0)],0.9980399
[ BW     |   B    |B B   W | B   W  |   WW   |  B     |BBWWW W | B     W,(6,2)],0.8618356
[B W  B  |BB B W B|W       | WWW   B|W       |B   WWW | BB    W|        ,(5,6)],0.6139249
[   B    | B  WW B| B B  WB|WB   BW |W W   WW|       W|WW B BW |B     BB,(2,1)],0.97401506
[  WWW   |W  B WW |        |  BW    |    BB  |   W BB |B WW    |B  B   B,(4,4)],0.73242754
[BWWW W  |  W  BW | B  W WB|  W W   |   W B  |WW     B|B  B B B| B B  WB,(5,0)],0.51019
[W W  BB |  W W W | B B   W|     B  |B WW BBW|W  B   W|B       | WB     ,(1,2)],0.20567846
[WBWWWBBW|BWW BWBW|WWBWBBWB|BBWWWBWB|BBB WBWW|BBW B BB|WWBWBBWW|BWB BWWW,(2,1)],0.99724495
[ B  B WW| BW     | B  B W |B B  B W|      W |  W     |B  WW  B| W      ,(3,5)],0.6399553
[  B     | B    WW|B     B |     W  | B  B   |   W    |  W     |     W W,(3,5)],0.11773125
[W WWBWWB|W B  BW |  BBB  W| W W WW |BBWW WBW|B WB WB |WBBWB  B|BBBWWWBB,(3,1)],0.9964849
[W BBWWB |BBW BWWW|BW WB BW|BW   BWB| BW BB B|WB  BWBB| WWBWWW |WB  WBWW,(0,5)],0.9954149
[BBWBWWWB|BWWBWBWW|WBWWBB W|WWBBBWWB|BBWWWBWB|WBWBWWWB|BWWBWBBW|BBB  BBW,(6,4)],0.99744
[   WW W |B B BW  | B  WB  |W       |WBW     |  B  W  |B W  B  | W  B  B,(4,1)],0.8073025
[      B |   W WWW| W B  W |W   B   |        | BB     |B    WB |   B    ,(5,2)],0.57104003
[BWBWWBWB|WWWBBWBB|WWB B BB|BBBWBWWW|W WW WBW|BBWWWBWB|WBBB BWW|BWWWBWBB,(4,7)],0.99724007
[  W BBB |W  BB   |B  WB   |B   W   | W B    |  WWB   |W   B WW|  W     ,(1,3)],-0.014829999
[WW   WBW| B WBBW | WB WWB |  WBBB B|WWBBWW W|BBBWW  B| WB B B |WBWBBWWW,(5,3)],0.99534005
[WWBBBWB |WWWBWBWB|BB BWBWW|BWBWBWBB|BBWB WWW|WBWBW BB|BWBBWBWW|WBWWWBWB,(5,3)],0.997365
[W WW B B|WBW W BW|WB B BWB| WB  WWB| B   BBB|  BWWBB |WWW  WW |   BB W ,(0,3)],0.99628496
[WBWBWWBB|WB WWW B|BBBW WBW| WBWBBBW|WW  WWWB|BBBWBBBW|BBBWBWWW|WBBBWWBW,(5,5)],0.9967349
[ BBWB BW|B W BWW |W W WBBW|W W B BB|BWB  W  |B W BBBW|WWWBWBB |BW BWBWW,(1,4)],0.9697975
[B  BBW  |BWWBB WW|WWBW BWW| WBBWWW |WBB  BBW|WW  BWBB|BWBBWBBW|B WBBWW ,(1,0)],0.99572504
[B  WW   |BB   WB |B  WW  B|   W B W|     W W|     W B|B B    B|  B   WW,(0,0)],0.84030247
[B  B  BB|W   BW  |  W   B | WB     |BW    W | WW W  W|  B  BBW|   BW  W,(4,1)],-0.027399998
[ B   W B|     BB |  B W W |   W  B |B       |W      B|BW      |  WWW   ,(2,2)],0.56952244
[WBBWWWBB|BBBWWBBW|WBWWB WW|W   BB B|BWWW WWW| WB B  B|BBBWWBWW|WBB BWWB,(4,5)],0.99674
[     B  |W  B B B| W W B  |W W   W | B  WW  | W  W   | BBB    | W  B   ,(4,5)],0.95212495
[        |     W B|  B   W |BW BB  B|    B W |W   B  W|       W|WW WB   ,(7,1)],0.78892016
[WBWWBBWB|WWBWBWBB|WWBWWWBB|BBWBWBWW|BWW WWBW|BBBWBBBW|WWWBWWBB|WBBBWBWB,(6,5)],0.0
[WB  W  W|W    BBB|WB BBWBW|BWBBW  W|W W  WWW| BW WBBB|WWBWBWBW|WBB BBWB,(3,4)],0.99614495
[B     B | B B  W |BW BBWB |  W W   |B BB  WW|B  B W  |WW   BWW| W    W ,(5,3)],0.99565
[B    W  |W       |WB B  WB|B BWW W |    WB  | W BW B |    B W |B B  W  ,(2,3)],0.6606432
[        |      W |W B    W| W   B  |   WW   |   WBB  |     B  | B     B,(5,5)],0.5346174
[WBB WB B|W  B  BB|     WW | BB W BW|BW BWWWB| WWW   B| WWW B  | BB  WB ,(3,1)],0.99404
[BB  WBWB| WWBBBWW|WBWBW BW| BWW B  |BB B WBW|WWBBWBWW|BWBWWBWW|WBBWBBWB,(7,4)],0.99677
